frame	crossing	04D9	03BC_03C5	03C6_03CF
6961	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6962	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6963	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6964	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6965	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6966	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6967	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6968	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6969	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6970	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6971	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6972	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6973	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6974	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6975	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6976	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6977	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6978	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6979	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6980	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6981	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6982	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6983	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6984	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6985	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6986	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6987	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6988	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6989	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6990	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
